day,value
2008-09-02, 50.68918
2008-09-03, 47.20690
2008-09-04, 74.63660
2008-09-05, 46.48592
2008-09-06, 65.61608
2008-09-07, 55.12830
2008-09-08, 66.41533
2008-09-09, 76.32962
2008-09-10, 48.51332
2008-09-11, 48.03336
2008-09-12, 64.05856
2008-09-13, 61.91556
2008-09-14, 68.82671
2008-09-15, 61.27871
2008-09-16, 52.02555
2008-09-17, 52.51625
2008-09-18, 43.08785
2008-09-19, 45.54068
2008-09-20, 43.81414
2008-09-21, 55.00048
2008-09-22, 48.21584
2008-09-23, 50.10276
2008-09-24, 50.78041
2008-09-25, 52.30442
2008-09-26, 68.76201
2008-09-27, 50.65707
2008-09-28, 62.83710
2008-09-29, 53.90289
2008-09-30, 51.66962
2008-10-01, 46.97797
2008-10-02, 54.95346
2008-10-03, 48.03149
2008-10-04, 60.19336
2008-10-05, 49.17294
2008-10-06, 45.90490
2008-10-07, 58.59252
2008-10-08, 65.77860
2008-10-09, 47.40641
2008-10-10, 44.64433
2008-10-11, 47.01205
2008-10-12, 45.83913
2008-10-13, 45.49168
2008-10-14, 43.25773
2008-10-15, 68.23444
2008-10-16, 56.14234
2008-10-17, 47.82622
2008-10-18, 47.80094
2008-10-19, 45.45619
2008-10-20, 46.06886
2008-10-21, 49.10481
2008-10-22, 61.61513
2008-10-23, 46.13871
2008-10-24, 74.04468
2008-10-25, 73.26703
2008-10-26, 56.98930
2008-10-27, 52.31274
2008-10-28, 68.26816
2008-10-29, 52.99851
2008-10-30, 45.81624
2008-10-31, 51.82261
2008-11-01, 62.74719
2008-11-02, 64.42726
2008-11-03, 59.97953
2008-11-04, 46.47695
2008-11-05, 54.75073
2008-11-06, 69.74863
2008-11-07, 51.77821
2008-11-08, 56.56938
2008-11-09, 63.27765
2008-11-10, 56.47437
2008-11-11, 60.55174
2008-11-12, 54.85721
2008-11-13, 62.10245
2008-11-14, 76.90746
2008-11-15, 59.88558
2008-11-16, 53.55121
2008-11-17, 43.87961
2008-11-18, 48.94211
2008-11-19, 51.45992
2008-11-20, 46.59242
2008-11-21, 48.33534
2008-11-22, 56.88861
2008-11-23, 48.53813
2008-11-24, 45.30289
2008-11-25, 47.71229
2008-11-26, 45.46000
2008-11-27, 48.60256
2008-11-28, 47.77688
2008-11-29, 53.97489
2008-11-30, 87.11575
2008-12-01, 74.98322
2008-12-02, 43.52789
2008-12-03, 46.18966
2008-12-04, 50.85822
2008-12-05, 46.64144
2008-12-06, 50.33843
2008-12-07, 56.22954
2008-12-08, 53.27051
2008-12-09, 68.21902
2008-12-10, 71.86249
2008-12-11, 64.19512
2008-12-12, 51.81109
2008-12-13, 51.23633
2008-12-14, 60.45868
2008-12-15, 65.68063
2008-12-16, 71.29768
2008-12-17, 59.70724
2008-12-18, 67.43475
2008-12-19, 88.45055
2008-12-20, 80.33619
2008-12-21, 80.72402
