month,numflights,flightmin,avgflight
1,304497,5442,55.95314223
2,391693,6372,61.47096673
3,410443,6540,62.7588685
4,304118,4934,61.63721119
5,252503,4329,58.32825133
6,485865,7411,65.55997841
7,278126,4815,57.76240914
8,180225,3033,59.42136499
9,111712,1879,59.45290048
10,93165,1681,55.42236764
11,119954,2048,55.42236764
12,423988,6260,58.57128906
