month,numflights,flightmin,avgflight
1,329419,4728,69.67406937
2,350095,5096,68.69996075
3,290240,4323,67.13856118
4,187240,3012,62.16467463
5,133092,2123,62.69053227
6,191872,2953,64.97527938
7,149302,2212,67.49638336
8,85144,1457,58.43788607
9,71933,1234,58.29254457
10,78747,1359,57.94481236
11,110418,1870,57.94481236
12,379326,5263,59.04705882
