month,numflights,flightmin,avgflight
1,911160,11814,77.12544439
2,657104,10005,65.67756122
3,499046,8298,60.14051579
4,323485,5773,56.03412437
5,334652,5840,57.30342466
6,558968,8654,64.5907095
7,469647,7439,63.1330824
8,328081,5722,57.33677036
9,266711,4397,60.65749375
10,222391,4127,53.88684274
11,280332,4558,53.88684274
12,912242,12364,61.50329092
