month,numflights,flightmin,avgflight
1,858415,13032,65.86978207
2,871790,13249,65.80043777
3,922151,13660,67.50739385
4,662960,10828,61.22644994
5,796745,12755,62.46530772
6,1167058,15972,73.06899574
7,843197,12614,66.84612336
8,764035,11809,64.69938183
9,388466,6422,60.48987854
10,332587,5954,55.85942224
11,334346,5218,64.07550786
12,755134,10744,70.28425168
