month,numflights,flightmin,avgflight
1,265430,4519,58.73644612
2,337853,5417,62.36902344
3,485776,6825,71.1759707
4,278992,4665,59.80535906
5,314384,4995,62.93973974
6,488550,6795,71.89845475
7,368866,5297,69.63677553
8,416419,5580,74.62706093
9,129136,1957,65.98671436
10,184515,3073,60.04393101
11,200063,3145,60.04393101
12,507563,6690,63.61303657
