month,numflights,flightmin,avgflight
1,8308,142,58.50704225
2,8956,165,54.27878788
3,9270,152,60.98684211
4,15237,321,47.46728972
5,23728,360,65.91111111
6,14649,300,48.83
7,31711,667,47.54272864
8,15087,285,52.93684211
9,8485,166,51.11445783
10,20989,415,50.57590361
11,20967,396,50.57590361
12,55940,956,52.9469697
