month,numflights,flightmin,avgflight
1,275156,4901,56.14282799
2,369911,5620,65.82046263
3,419426,6058,69.23506108
4,303029,4426,68.46565748
5,158685,3024,52.47519841
6,286549,4649,61.63669606
7,526397,6112,86.12516361
8,354362,5046,70.22631788
9,146628,2527,58.02453502
10,205074,3258,62.94475138
11,301025,4425,68.02824859
12,429204,6735,63.72739421
