month,numflights,flightmin,avgflight
1,797155,10861,73.39609612
2,658814,9318,70.70336982
3,567541,8529,66.54250205
4,510599,7777,65.65500836
5,511495,7971,64.1694894
6,918371,12440,73.82403537
7,707563,10063,70.31332605
8,608510,8505,71.5473251
9,316617,5141,61.58665629
10,220838,3650,60.50356164
11,234692,3443,60.50356164
12,581834,7767,68.16497241
