month,numflights,flightmin,avgflight
1,1023631,19951,51.30725277
2,1280819,22382,57.22540434
3,1080007,23216,46.51994314
4,681471,14796,46.05778589
5,821904,17123,48
6,1187538,21580,55.02956441
7,885011,15615,56.67697727
8,705523,14019,50.32620016
9,337518,7677,43.96483001
10,370279,9159,40.42788514
11,566459,10494,40.42788514
12,1776512,27547,53.97932152
