day,value
2008-11-15,1678
2008-11-16,2021
2008-11-17,1545
2008-11-18,1140
2008-11-19,1472
2008-11-20,2321
2008-11-21,2821
2008-11-22,1580
2008-11-23,1167
2008-11-24,1697
2008-11-25,1790
2008-11-26,1650
2008-11-27, 702
2008-11-28, 744
2008-11-29,2628
2008-11-30,7879
2008-12-01,7985
2008-12-02,2671
2008-12-03,2283
2008-12-04,2659
2008-12-05,1916
2008-12-06,1439
2008-12-07,2566
2008-12-08,1926
2008-12-09,2703
2008-12-10,4167
2008-12-11,3936
2008-12-12,3139
2008-12-13,1701
2008-12-14,3364
2008-12-15,5370
2008-12-16,5385
2008-12-17,6613
2008-12-18,6659
2008-12-19,7735
2008-12-20,7008
2008-12-21,7968
2008-12-22,7847
2008-12-23,7973
2008-12-24,6161
2008-12-25,2927
2008-12-26,6428
2008-12-27,7228
2008-12-28,4447
2008-12-29,2521
2008-12-30,3244
2008-12-31,3145
