month,numflights,flightmin,avgflight
1,717659,10422,68.86000768
2,719769,10964,65.64839475
3,647250,10104,64.0587886
4,491999,8203,59.9779349
5,466725,7593,61.46779929
6,729543,11412,63.92770768
7,518701,8616,60.20206592
8,406083,6925,58.6401444
9,279023,4884,57.13001638
10,206271,3876,53.21749226
11,239438,4321,55.41263596
12,763878,10235,74.63390327
