month,numflights,flightmin,avgflight
1,172054,3000,57.35133333
2,340060,5588,60.85540444
3,358508,5524,64.90007241
4,188359,3332,56.53031212
5,149183,2645,56.40189036
6,312095,4748,65.73188711
7,524625,5758,91.1123654
8,280513,4109,68.26794841
9,68642,1477,46.47393365
10,130836,2408,54.33388704
11,176876,2993,59.09655864
12,286684,5409,53.00129414
