month,numflights,flightmin,avgflight
1,61404,1486,41.32166891
2,63521,1442,44.05062413
3,70014,1697,41.25751326
4,45630,1093,41.74748399
5,65587,1491,43.98859826
6,72237,1806,39.99833887
7,62813,1398,44.93061516
8,56785,1211,46.89099917
9,15171,411,36.91240876
10,27180,591,45.98984772
11,49625,912,45.98984772
12,131379,2402,54.41337719
