month,numflights,flightmin,avgflight
1,364036,4624,78.72750865
2,395329,4780,82.70481172
3,257470,3709,69.41763279
4,298942,4369,68.42343786
5,245676,3876,63.38390093
6,427813,5604,76.34064954
7,353092,5329,66.2585851
8,261164,4079,64.02647708
9,227199,3354,67.73971377
10,179018,3081,58.10386238
11,165607,2678,58.10386238
12,425553,5163,61.83980583
