month,numflights,flightmin,avgflight
1,439277,6969,63.0330033
2,480331,7265,66.1157605
3,645210,8627,74.789614
4,389429,6150,63.32178862
5,412941,6227,66.31459772
6,640026,8558,74.78686609
7,469922,6984,67.28550974
8,528670,7203,73.3958073
9,166149,2396,69.34432387
10,215671,3098,69.616204
11,190848,2656,69.616204
12,476457,5875,71.85542169
