month,numflights,flightmin,avgflight
1,282437,4777,59.12434582
2,316266,5270,60.01252372
3,461863,7766,59.47244399
4,363523,5883,61.79211287
5,200396,3681,54.44064113
6,418091,7198,58.08432898
7,692311,8915,77.65687044
8,396706,6221,63.76884745
9,172983,3301,52.40321115
10,263895,4735,55.73284055
11,306722,5474,55.73284055
12,520872,9031,56.03251735
